Distance_m,ReceivedPower_dBm,PathLoss_dB,RMSDelaySpread_ns,KFactor_dB,TotalPower,MeanDelay,RMSDelay,Entropy,Frequency_GHz,TxHeight,RxHeight,LOS,Scenario
312.9,-81,111,2,0,3.000000001,1048.833333,2.817011813,1.098612289,28,800,30,1,UMi_LOS_28
312.8,-81.3,111.3,2.2,2.7,3.000000001,1047.933333,2.991469353,1.098612289,28,800,30,1,UMi_LOS_28
312.7,-82,112,1.9,0.1,3.000000004,1039.466667,5.741273571,1.098612289,28,800,30,1,UMi_LOS_28
312.7,-82.6,112.6,2.4,0,82,1242.200488,227.5203616,4.406719247,28,800,30,1,UMi_LOS_28
312.7,-80,110,3.5,0.3,4.000000001,1035.25,3.130894441,1.386294361,28,800,30,1,UMi_LOS_28
312.6,-80.3,110.3,3.1,0.5,4.000000003,1035.225,3.186985252,1.386294361,28,800,30,1,UMi_LOS_28
312.6,-79.1,109.1,3.7,-1.2,4.000000001,1035.225,3.186985252,1.386294361,28,800,30,1,UMi_LOS_28
312.5,-81.7,111.7,3.9,2.7,4.00000001,1035.225,3.211210832,1.386294361,28,800,30,1,UMi_LOS_28
312.5,-82,112,3.7,-1.2,4,1035.225,3.211210831,1.386294361,28,800,30,1,UMi_LOS_28
312.4,-79.7,109.7,3.2,1.1,4.000000001,1035.25,3.269938837,1.386294361,28,800,30,1,UMi_LOS_28
312.4,-81.9,111.9,2.8,-1.2,4,1035.25,3.269938837,1.386294361,28,800,30,1,UMi_LOS_28
312.3,-82.5,112.5,1.9,0.6,4.000000001,1035.225,3.328945028,1.386294361,28,800,30,1,UMi_LOS_28
312.3,-79.7,109.7,1.3,7.7,4,1035.225,3.328945028,1.386294361,28,800,30,1,UMi_LOS_28
312.3,-82,112,2.7,5.7,3.000000002,1047.8,3.034248946,1.098612289,28,800,30,1,UMi_LOS_28
312.2,-82.7,112.7,2.1,9.5,4.000000005,1035.25,3.389321466,1.386294361,28,800,30,1,UMi_LOS_28
312.2,-79.7,109.7,2.9,5.8,4.000000001,1035.25,3.389321466,1.386294361,28,800,30,1,UMi_LOS_28
312.1,-84.2,114.2,1.8,5.9,4.000000002,1035.25,3.417967232,1.386294361,28,800,30,1,UMi_LOS_28
312.1,-78.6,108.6,3.5,4.2,4.000000001,1035.225,3.433201859,1.386294361,28,800,30,1,UMi_LOS_28
312,-83.4,113.4,3.3,-2.8,4.000000001,1035.275,3.480211919,1.386294361,28,800,30,1,UMi_LOS_28
312,-80.9,110.9,3.4,-2.4,4,1035.25,3.542245051,1.386294361,28,800,30,1,UMi_LOS_28
312,-81.3,111.3,1.2,2.2,4.000000005,1035.25,3.542245051,1.386294361,28,800,30,1,UMi_LOS_28
311.9,-83,113,3.4,0.4,4.000000001,1035.25,3.573863456,1.386294361,28,800,30,1,UMi_LOS_28
311.9,-78,108,1.6,7.8,4,1035.275,3.605811282,1.386294361,28,800,30,1,UMi_LOS_28
311.8,-84.9,114.9,2.5,3.2,4,1035.275,3.638251641,1.386294361,28,800,30,1,UMi_LOS_28
311.8,-84.3,114.3,1.9,8.2,3,1047.7,3.082207002,1.098612289,28,800,30,1,UMi_LOS_28
311.7,-81,111,3.1,4.6,4.000000001,1035.275,3.638251641,1.386294361,28,800,30,1,UMi_LOS_28
311.7,-83.8,113.8,1.2,10.5,4,1035.275,3.671767286,1.386294361,28,800,30,1,UMi_LOS_28
311.7,-81.7,111.7,3,2.2,4.000000001,1035.275,3.733882028,1.386294361,28,800,30,1,UMi_LOS_28
311.6,-80.8,110.8,3.5,-2.1,4.000000001,1035.275,3.767874069,1.386294361,28,800,30,1,UMi_LOS_28
311.6,-78.1,108.1,3.1,2.3,4.000000001,1035.275,3.767874069,1.386294361,28,800,30,1,UMi_LOS_28
311.5,-80,110,1.8,7.3,4,1035.275,3.8028772,1.386294361,28,800,30,1,UMi_LOS_28
311.5,-82.4,112.4,3.8,-3.2,4,1035.3,3.834057903,1.386294361,28,800,30,1,UMi_LOS_28
311.4,-82.9,112.9,2.7,-0.9,4.000000002,1035.3,3.869754514,1.386294361,28,800,30,1,UMi_LOS_28
311.4,-81.7,111.7,3.2,1.6,4.000000023,1035.325,3.887399518,1.386294361,28,800,30,1,UMi_LOS_28
311.4,-76.8,106.8,2.9,-1.4,4.000000001,1035.275,3.935971926,1.386294361,28,800,30,1,UMi_LOS_28
311.3,-79.1,109.1,3.1,1.5,3,1047.6,3.082207002,1.098612289,28,800,30,1,UMi_LOS_28
311.3,-82.8,112.8,3.2,-1.5,4.000000001,1035.325,3.984579652,1.386294361,28,800,30,1,UMi_LOS_28
311.2,-83.8,113.8,3.3,-0.4,4,1035.3,4.003748244,1.386294361,28,800,30,1,UMi_LOS_28
311.2,-75,105,2.6,3.8,4,1035.3,4.041658076,1.386294361,28,800,30,1,UMi_LOS_28
311.1,-80.3,110.3,1.1,2,4.000000003,1035.3,4.041658075,1.386294361,28,800,30,1,UMi_LOS_28
311.1,-81.1,111.1,3.7,-2,4,1035.325,4.110580859,1.386294361,28,800,30,1,UMi_LOS_28
311.1,-85.8,115.8,3.3,2.9,4.000000001,1035.325,4.110580859,1.386294361,28,800,30,1,UMi_LOS_28
311,-83.3,113.3,3.1,-0.2,4,1035.325,4.149924698,1.386294361,28,800,30,1,UMi_LOS_28
311,-84.8,114.8,1.3,9.5,4.000000001,1035.3,4.178516483,1.386294361,28,800,30,1,UMi_LOS_28
310.9,-84,114,3.6,-0.3,4,1035.325,4.248161367,1.386294361,28,800,30,1,UMi_LOS_28
310.9,-83.5,113.5,3.5,-1.4,4.000000004,1035.35,4.267610572,1.386294361,28,800,30,1,UMi_LOS_28
310.8,-83.8,113.8,3,1.9,3,1047.5,3.131559782,1.098612289,28,800,30,1,UMi_LOS_28
310.8,-84.4,114.4,3.7,-0.9,4,1035.325,4.288574938,1.386294361,28,800,30,1,UMi_LOS_28
310.8,-82.7,112.7,1.7,9.8,4,1035.35,4.308421985,1.386294361,28,800,30,1,UMi_LOS_28
310.7,-82.5,112.5,1.8,11,4.000000009,1035.35,4.359185702,1.386294361,28,800,30,1,UMi_LOS_28
310.7,-75.3,105.3,2.5,5.4,4.000000001,1035.375,4.379140897,1.386294361,28,800,30,1,UMi_LOS_28
310.6,-78,108,2,3.4,4,1035.325,4.428529666,1.386294361,28,800,30,1,UMi_LOS_28
310.6,-82.5,112.5,2.8,2.2,4.000000001,1035.35,4.448876263,1.386294361,28,800,30,1,UMi_LOS_28
310.5,-83.5,113.5,2.1,4.7,4,1035.35,4.499722214,1.386294361,28,800,30,1,UMi_LOS_28
310.5,-84.9,114.9,2.9,0.9,4.000000016,1035.375,4.520163161,1.386294361,28,800,30,1,UMi_LOS_28
310.5,-85.8,115.8,3.7,-0.5,4.000000001,1035.35,4.542301179,1.386294361,28,800,30,1,UMi_LOS_28
310.4,-86.7,116.7,3.7,-1.2,4.000000002,1035.375,4.563099276,1.386294361,28,800,30,1,UMi_LOS_28
310.4,-85.3,115.3,1.8,5.4,3,1047.4,3.131559782,1.098612289,28,800,30,1,UMi_LOS_28
310.3,-83.1,113.1,3.5,-0.8,4,1035.4,4.635191474,1.386294361,28,800,30,1,UMi_LOS_28
310.3,-78.1,108.1,3.6,-1.5,4,1035.4,4.635191474,1.386294361,28,800,30,1,UMi_LOS_28
310.2,-75.6,105.6,3.7,0.4,4.000000002,1035.375,4.706046642,1.386294361,28,800,30,1,UMi_LOS_28
310.2,-82.5,112.5,3.1,2.6,4,1035.375,4.706046642,1.386294361,28,800,30,1,UMi_LOS_28
310.2,-82.4,112.4,3.2,3.5,4.000000001,1035.4,4.778598121,1.386294361,28,800,30,1,UMi_LOS_28
310.1,-80.8,110.8,3.6,0.1,4.000000006,1035.4,4.778598121,1.386294361,28,800,30,1,UMi_LOS_28
310.1,-76.8,106.8,3.4,2.2,4,1035.4,4.823380557,1.386294361,28,800,30,1,UMi_LOS_28
310,-87.7,117.7,2.4,6.5,4.000000001,1035.4,4.823380557,1.386294361,28,800,30,1,UMi_LOS_28
310,-85.3,115.3,3.3,2.8,4.000000001,1035.425,4.896618731,1.386294361,28,800,30,1,UMi_LOS_28
310,-73,103,3.7,-1.5,4.000000006,1035.425,4.896618731,1.386294361,28,800,30,1,UMi_LOS_28
309.9,-80.3,110.3,3.4,2.6,3.000000001,1047.333333,3.138293946,1.098612289,28,800,30,1,UMi_LOS_28
309.9,-79.9,109.9,3.4,2.6,4,1035.425,4.942355208,1.386294361,28,800,30,1,UMi_LOS_28
309.8,-83.6,113.6,3.7,0.5,4,1035.425,4.990678812,1.386294361,28,800,30,1,UMi_LOS_28
309.8,-76.9,106.9,0.7,16.5,4.000000001,1035.425,5.042011008,1.386294361,28,800,30,1,UMi_LOS_28
309.7,-76,106,3,4.6,4,1035.45,5.064336087,1.386294361,28,800,30,1,UMi_LOS_28
309.7,-82.8,112.8,3.5,2.4,4.000000001,1035.425,5.088405939,1.386294361,28,800,30,1,UMi_LOS_28
309.7,-77.7,107.7,3.9,-0.3,4,1035.45,5.111017511,1.386294361,28,800,30,1,UMi_LOS_28
309.6,-79.9,109.9,3,4.6,4.000000004,1035.475,5.138275489,1.386294361,28,800,30,1,UMi_LOS_28
309.6,-86.3,116.3,2.9,5.1,4,1035.475,5.185255539,1.386294361,28,800,30,1,UMi_LOS_28
309.5,-82.5,112.5,2.7,1.3,4,1035.475,5.185255539,1.386294361,28,800,30,1,UMi_LOS_28
309.5,-85,115,3.6,1.3,4,1035.45,5.258089006,1.386294361,28,800,30,1,UMi_LOS_28
309.4,-76.4,106.4,3.3,-0.2,3.000000001,1047.2,3.182242396,1.098612289,28,800,30,1,UMi_LOS_28
309.4,-79.9,109.9,3,3.1,4.000000047,1035.5,5.308012811,1.386294361,28,800,30,1,UMi_LOS_28
309.4,-77.2,107.2,3.5,-1.5,4.000000005,1035.475,5.332623651,1.386294361,28,800,30,1,UMi_LOS_28
309.3,-78.5,108.5,4.1,-0.9,4.000000013,1035.5,5.355837936,1.386294361,28,800,30,1,UMi_LOS_28
309.3,-78.7,108.7,4.2,-1,4,1035.475,5.380694658,1.386294361,28,800,30,1,UMi_LOS_28
309.2,-79.1,109.1,4.5,-1.9,4,1035.525,5.430642227,1.386294361,28,800,30,1,UMi_LOS_28
309.2,-77.2,107.2,1.9,8.5,4,1035.5,5.455730932,1.386294361,28,800,30,1,UMi_LOS_28
309.2,-86.8,116.8,4.3,-0.4,4.000000002,1035.525,5.479222116,1.386294361,28,800,30,1,UMi_LOS_28
309.1,-85.8,115.8,2.6,6.1,4.000000002,1035.5,5.504543578,1.386294361,28,800,30,1,UMi_LOS_28
309.1,-75.6,105.6,4.7,-2.5,4,1035.525,5.57914644,1.386294361,28,800,30,1,UMi_LOS_28
309,-77.7,107.7,3.5,2,4.000000004,1035.525,5.6282213,1.386294361,28,800,30,1,UMi_LOS_28
309,-78,108,4.6,-1.2,3.000000001,1047.133333,3.189914663,1.098612289,28,800,30,1,UMi_LOS_28
309,-85.6,115.6,3.7,1.9,4.000000004,1035.525,5.6282213,1.386294361,28,800,30,1,UMi_LOS_28
308.9,-71.5,101.5,4,-0.2,4.000000008,1035.525,5.677752636,1.386294361,28,800,30,1,UMi_LOS_28
308.9,-81.4,111.4,4.6,-3.7,4,1035.55,5.703726852,1.386294361,28,800,30,1,UMi_LOS_28
308.8,-84.3,114.3,3.7,0.7,4,1035.55,5.753477209,1.386294361,28,800,30,1,UMi_LOS_28
308.8,-75.7,105.7,3.7,0.9,4,1035.55,5.753477209,1.386294361,28,800,30,1,UMi_LOS_28
308.7,-77.1,107.1,4.2,-0.7,4,1035.575,5.777704994,1.386294361,28,800,30,1,UMi_LOS_28
308.7,-86.7,116.7,4,0.4,4,1035.575,5.829397482,1.386294361,28,800,30,1,UMi_LOS_28
308.7,-75.9,105.9,4.9,-2.5,4,1035.6,5.853631352,1.386294361,28,800,30,1,UMi_LOS_28
308.6,-77.4,107.4,4.4,-1.2,4.000000002,1035.575,5.928058282,1.386294361,28,800,30,1,UMi_LOS_28
308.6,-77.1,107.1,4.7,-2.9,4,1035.575,5.928058282,1.386294361,28,800,30,1,UMi_LOS_28
308.5,-78.3,108.3,4.3,-2,3.000000001,1047,3.234192326,1.098612289,28,800,30,1,UMi_LOS_28
308.5,-81.8,111.8,2,8.2,4,1035.6,6.004165221,1.386294361,28,800,30,1,UMi_LOS_28
308.5,-77.1,107.1,3.4,-1.9,4.000000001,1035.6,6.004165221,1.386294361,28,800,30,1,UMi_LOS_28
308.4,-72.8,102.8,4.2,-1.2,4.00000004,1035.6,6.055163086,1.386294361,28,800,30,1,UMi_LOS_28
308.4,-81.1,111.1,3.5,0.2,4,1035.6,6.055163086,1.386294361,28,800,30,1,UMi_LOS_28
308.3,-101,131,3.4,1.7,4.000000001,1035.625,6.131629066,1.386294361,28,800,30,1,UMi_LOS_28
308.3,-81.5,111.5,3.4,3.3,4.000000006,1035.625,6.131629066,1.386294361,28,800,30,1,UMi_LOS_28
308.3,-85.5,115.5,4.3,-2,4,1035.625,6.183192945,1.386294361,28,800,30,1,UMi_LOS_28
308.2,-83.3,113.3,4.6,-0.7,4,1035.65,6.208260626,1.386294361,28,800,30,1,UMi_LOS_28
308.2,-83.7,113.7,4.4,-3,4.00000001,1035.65,6.256396726,1.386294361,28,800,30,1,UMi_LOS_28
308.1,-85.5,115.5,3.5,-2.2,20,1650.23,308.0080083,2.995732274,28,800,30,1,UMi_LOS_28
308.1,-84.3,114.3,4,0,3.000000001,1048.733333,2.817011813,1.098612289,28,800,30,1,UMi_LOS_28
